job_id,account,target,status,worker_id,claimed_at,completed_at,error,attempts,max_attempts,retry_at,error_type,error_category
FrozenGearSmoker_bella15.25,FrozenGearSmoker,bella15.25,success,1,2025-12-20T19:20:38.906123,2025-12-20T19:23:01.878587,,1,3,,,
filbertthesmasher_berniec77,filbertthesmasher,berniec77,success,0,2025-12-20T19:20:41.829859,2025-12-20T19:25:50.435835,,1,3,,,
FallenBarkSwitch_billy__lin,FallenBarkSwitch,billy__lin,success,3,2025-12-20T19:22:34.796464,2025-12-20T19:25:14.586032,,1,3,,,
EmptyFuelMatrix_blakethom123,EmptyFuelMatrix,blakethom123,success,0,2025-12-20T19:23:01.224784,2025-12-20T19:27:52.821372,,1,3,,,
daisochunks_bobbrandy440,daisochunks,bobbrandy440,success,1,2025-12-20T19:23:11.913996,2025-12-20T19:25:42.582139,,1,3,,,
contibonit_body_by_barron_sd,contibonit,body_by_barron_sd,success,2,2025-12-20T19:25:43.828846,2025-12-20T19:28:15.445317,,1,3,,,
ClosedCircuitMute_brian.wisneski,ClosedCircuitMute,brian.wisneski,success,3,2025-12-20T19:25:51.983220,2025-12-20T19:28:33.262769,,1,3,,,
bondsgoldengun_bridgeovertrouble,bondsgoldengun,bridgeovertrouble,success,1,2025-12-20T19:25:52.620408,2025-12-20T19:28:19.855337,,1,3,,,
blackietheblackest_bsachs.04,blackietheblackest,bsachs.04,success,0,2025-12-20T19:26:00.463739,2025-12-20T19:28:26.497720,,1,3,,,
basilthymeoregano_buckeyeinfluence,basilthymeoregano,buckeyeinfluence,success,4,2025-12-20T19:26:38.929180,2025-12-20T19:30:13.983457,,1,3,,,
AgedWalnutThrones_bukkey24,AgedWalnutThrones,bukkey24,success,0,2025-12-20T19:28:02.851495,2025-12-20T19:30:50.710202,,1,3,,,
speckles_is_here_byronjayhousten,speckles_is_here,byronjayhousten,success,2,2025-12-20T19:28:25.473940,2025-12-20T19:31:16.626739,,1,3,,,
rushhourresponse_cal.cornell,rushhourresponse,cal.cornell,success,1,2025-12-20T19:28:29.874130,2025-12-20T19:33:48.589354,,1,3,,,
redcarelesscrocs_caleb85845451,redcarelesscrocs,caleb85845451,success,0,2025-12-20T19:28:36.520368,2025-12-20T19:31:11.864451,,1,3,,,
ogtylerguy_cape_cowgirl,ogtylerguy,cape_cowgirl,success,3,2025-12-20T19:28:43.290447,2025-12-20T19:31:16.369936,,1,3,,,
milkyjersey.trainer_carson.lushin,milkyjersey.trainer,carson.lushin,success,4,2025-12-20T19:30:24.009813,2025-12-20T19:32:26.528874,,1,3,,,
markatetwobananas_carsontweeks,markatetwobananas,carsontweeks,success,0,2025-12-20T19:31:00.736492,2025-12-20T19:33:17.023322,,1,3,,,
